srcid,Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8a,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter
2576,"""2""","""2""","""36""","""3""","""4""","""1""","""4""","""3""","""3""",9,5,"""2""","""4""","""2""","""2""","""2""","""3""","""3""","""NaN""","""NaN""","""0""","""2""",2,"""NaN""",12.09999999999999,3,21,13,7,29,-22,False,False
2300,"""2""","""2""","""1""","""2""","""4""","""1""","""3""","""3""","""3""",6,1,"""2""","""4""","""3""","""1""","""2""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",3,"""1""",12.066666666666665,4,18,15,6,30,-24,False,False
650,"""2""","""2""","""13""","""100""","""2""","""1""","""4""","""4""","""3""",9,2,"""4""","""4""","""2""","""1""","""2""","""3""","""1""","""NaN""","""NaN""","""0""","""1""",3,"""3""",17.8,2,22,13,8,28,-20,False,False
294,"""2""","""4""","""5""","""-98""","""2""","""2""","""5""","""1""","""1""",3,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""1""","""1""","""0""","""2""",3,"""NaN""",11.866666666666676,8,27,19,14,40,-26,False,True
269,"""1""","""4""","""16""","""100""","""2""","""2""","""1""","""2""","""1""",6,4,"""2""","""2""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""-1""","""1""",3,"""2""",23.10000000000001,3,42,9,6,48,-42,False,False
334,"""2""","""4""","""32""","""3""","""2""","""1""","""1""","""2""","""2""",1,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""3""","""2""","""1""","""1""",2,"""1""",14.966666666666672,6,37,11,22,32,-10,False,False
905,"""2""","""4""","""16""","""3""","""1""","""1""","""2""","""2""","""1""",3,1,"""2""","""1""","""2""","""1""","""2""","""3""","""3""","""NaN""","""NaN""","""2""","""1""",4,"""1""",16.68333333333333,4,24,7,14,20,-6,False,False
362,"""2""","""4""","""16""","""-98""","""2""","""2""","""3""","""2""","""2""",3,1,"""2""","""2""","""1""","""2""","""3""","""2""","""3""","""NaN""","""NaN""","""1""","""2""",2,"""NaN""",10.9,2,28,7,5,31,-26,False,True
1746,"""2""","""2""","""2""","""-98""","""1""","""1""","""4""","""3""","""3""",8,1,"""2""","""2""","""2""","""1""","""3""","""3""","""2""","""NaN""","""NaN""","""1""","""1""",3,"""1""",26.283333333333324,1,28,6,13,21,-8,False,True
2343,"""2""","""4""","""16""","""-98""","""1""","""2""","""3""","""2""","""2""",,4,"""2""","""2""","""3""","""2""","""2""","""4""","""3""","""NaN""","""NaN""","""0""","""1""",4,"""3""",12.783333333333342,4,28,3,4,30,-26,False,True
943,"""2""","""2""","""36""","""1""","""2""","""1""","""2""","""2""","""2""",4,1,"""2""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""0""","""1""",1,"""1""",29.583333333333343,6,37,11,5,49,-44,False,False
463,"""1""","""2""","""1""","""1""","""1""","""1""","""4""","""2""","""2""",5,7,"""4""","""1""","""NaN""","""NaN""","""NaN""","""NaN""","""NaN""","""2""","""3""","""-1""","""2""",4,"""3""",18.299999999999994,6,40,8,18,36,-18,False,False
