srcid,IntDate,Mode,Q1_CF_Order,Q1,Q2,Q2_Oth,Q3,Q3_Oth,Q4,Q4_Oth,Q5i_DUM,Q5i_Order,Q5a,Q5b,Q5ii_DUM,Q5ii_Order,Q5c,Q5d,Q5e,Q5f,Q6_Order,Q6a,Q6b,Q6c,Q6d,Q7_Order,Q7a,Q7b,Q7c,Q7d,Q7e,Q8_CF_Order,Q8_Order,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9_DUM,Q9a_CLICK,Q9b_CLICK,Q9c_CLICK,Q10_Order,Q10a,Q10b,Q10c,Q10d,module,Q11_DUM,Q11,Q11_CLICK,Q11a,Q11b,Q12,Q13_Order,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,E_ORDER,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Sect_0_time,Sect_1_time,Sect_2_time,Sect_3_time,Sect_4_time,Sect_5_time,Sect_6_time,Sect_7_time,Sect_8_time,Sect_9_time,Sect_10_time,Sect_11_time,Sect_12_time,Sect_13_time,Sect_14_time,Sect_15_time,Sect_16_time,p_state,p_region,p_geography,p_seifa,p_gender,p_age,p_age_group,p_birthgroup,p_citizen,p_lote,p_atsi,p_house_str,p_schooling,p_education,p_phone,sDevType,fDevType,sOSName,fOSName,wt_agehedu12,wt_geography,wt_internet,wt_sex,wt_tel,wt_volunteer,wt_design,wt_propensit,wt_base,wt_wave,weight,StateMap,p_gender_sdc,p_age_group_sdc,p_education_sdc
32,14-OCT-18,2,2,2,19, ,16, ,3, ,2,"a, b",2,2,3,"e, c, d, f",2,2,2,2,"c, a, b, d",3,4,4,4,"d, c, b, a, e",3,3,3,4,2,2,"g, b, h, f, a, e, c, d",9,8,5,5,9,6,6,9,2, ,0, ,"c, a, b, d",2,2,5,2,2, , , , , , , , , , , , , , , ,1,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,1.2,.916666666666667,.7,.633333333333333,.85,.333333333333334,.516666666666667,.333333333333333, , , , , ,.666666666666667,.583333333333333,1.3,.233333333333334,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,1,4695.4258,1.1148816830374,5276.69204175994,1067.14222727273,.120182631910845,1,2,3,1
275,09-OCT-18,2,2,2,11, ,12, ,1, ,3,"b, a",4,4,2,"d, f, e, c",2,2,1,1,"b, d, c, a",2,2,2,2,"a, d, c, e, b",1,1,3,1,2,0,"f, c, h, d, a, e, b, g",3,3,2,1,2,3,1,4,3, , ,0,"b, d, c, a",4,4,4,1,1,1,3,0,2, ,1,"d, f, e, a, c, b",2,1,2,1,2,2,3,2, , , , , , , , , , , , , , , , ,.75,1.23333333333333,.45,.65,.8,.466666666666667,.633333333333333,.216666666666667,.283333333333333,.933333333333334, ,.416666666666667,.199999999999999, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,6,6,-99,-99,1,-99,3,1,4997.3515,1.05256334585963,5302.07816812345,1135.76170454545,.127910626519454,1,2,4,1
1180,10-OCT-18,2,2,2,-99, , , ,3, ,2,"b, a",2,2,2,"d, f, e, c",3,2,3,3,"b, d, c, a",-99,4,3,4,"e, a, c, b, d",3,3,3,3,2,1,"b, f, g, e, a, c, d, h",2,2,2,2,3,2,2,2,1,0, , ,"b, d, c, a",4,4,4,4,1,3,2,0,2, ,4,"d, b, e, a, c, f",1,1,1,1,1,1,4,3, , , , , , , , , , , , , , , , ,2.65,1.73333333333333,1.26666666666667,1.13333333333333,1.66666666666667,.416666666666668,1.08333333333333,.4,.23,1.43333333333333, ,.65,.449999999999999, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,16529.8031,1.05256334585963,17537.7513748811,33341.5431808278,3.7549581574349,1,2,3,3
1600,12-OCT-18,2,2,2,19, ,29, ,3, ,1,"b, a",2,2,1,"f, e, d, c",1,2,2,3,"d, c, b, a",4,2,2,2,"b, e, c, a, d",1,1,1,1,1,2,"h, c, f, d, b, a, e, g",4,5,5,1,5,4,3,7,3, , ,0,"d, c, b, a",4,1,1,1,1,2,1,0, ,2,2,"f, a, d, b, c, e",-98,2,2,1,1,2,2,1, , , , , , , , , , , , , , , , ,1.05,1.51666666666667,.816666666666667,.716666666666667,.966666666666667,.566666666666666,.783333333333333,.216666666666667,.4, ,3.16666666666667,.35,.100000000000001, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,6108.623,1.20561803337607,7423.53986159807,5172.42197267721,.582523369559212,1,2,4,2
840,10-OCT-18,2,2,4,16, ,13, ,3, ,2,"a, b",2,1,3,"e, d, f, c",1,1,2,1,"c, b, d, a",3,2,2,2,"b, a, d, c, e",1,2,2,1,1,0,"g, c, d, b, f, e, h, a",7,3,8,3,8,4,8,8,1,0, , ,"c, b, d, a",2,2,4,1,1,3,3,0,2, ,2,"c, f, d, a, b, e",2,1,2,2,2,2,2,3, , , , , , , , , , , , , , , , ,1.63333333333333,1.15,.683333333333334,.65,.916666666666667,.166666666666666,.633333333333334,.733333333333333,.6,.916666666666666, ,.233333333333334,.1, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4997.3515,1.05256334585963,5302.07816812345,3420.81622138901,.38525576653502,1,1,4,2
1483,12-OCT-18,2,1,2,11, ,1, ,2, ,1,"b, a",2,2,1,"f, e, d, c",1,2,2,2,"d, c, b, a",3,4,3,2,"c, b, e, d, a",2,2,3,2,2,2,"h, d, f, c, b, g, e, a",8,7,6,1,5,5,3,7,1,0, , ,"d, c, b, a",2,2,2,2,2, , , , , , , , , , , , , , , ,1,3,3,4,3,3,4,3,2,3,3,2,3,3,3,3,1.45,1.15,.566666666666666,.75,1.5,.533333333333333,.666666666666667,1.48333333333333, , , , , ,.883333333333333,1.45,1.36666666666667,.216666666666667,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,-99,-99,1,-99,3,2,5453.4699,1.1148816830374,6128.57756612987,9221.0843972842,1.03848780754359,1,2,3,2
3,13-OCT-18,1,2,4,5, ,16, ,1, ,3,"a, b",4,2,1,"e, c, f, d",1,1,1,1,"c, a, d, b",2,2,2,2,"b, c, a, e, d",1,1,1,1,1, ,"g, b, a, d, c, e, f, h",5,3,3,1,4,4,3,4,1, , , ,"c, a, d, b",4,4,5,5,2, , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,.916666666666667,1.58333333333333,1.05,1.05,1.33333333333333,.433333333333333,.850000000000001,.75, , , , , ,1.33333333333333,1.1,2.08333333333333,.383333333333335,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,1,4695.4258,1.05256334585963,4981.74175345152,3568.69103457674,.401909576859484,1,2,3,3
1635,13-OCT-18,2,1,2,2, ,11, ,3, ,3,"b, a",2,2,1,"f, e, d, c",2,2,2,2,"d, c, b, a",4,4,3,4,"b, d, a, e, c",2,2,2,2,2,2,"h, c, d, e, g, f, a, b",4,4,3,2,5,5,4,7,2, ,0, ,"d, c, b, a",4,4,4,2,2, , , , , , , , , , , , , , , ,1,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3.78333333333333,1.56666666666667,1.56666666666667,1.13333333333333,1.4,.866666666666665,.950000000000001,1.55, , , , , ,2.11666666666667,1.18333333333333,1.58333333333333,.133333333333333,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,12,12,-99,-99,1,-99,3,2,4997.3515,1.20561803337607,6073.06066566343,8824.3324989407,.993805209348218,1,1,3,2
1604,13-OCT-18,1,2,2,13, ,6, ,3, ,1,"a, b",2,2,2,"c, d, f, e",1,1,2,1,"a, b, d, c",5,5,2,5,"b, a, c, e, d",1,1,1,2,1, ,"e, h, c, a, f, g, d, b",6,6,8,2,6,6,5,6,2, , , ,"a, b, d, c",4,4,4,4,1,1,1, , ,2,1,"c, f, a, b, d, e",1,-98,1,1,1,1,3,3, , , , , , , , , , , , , , , , ,1.56666666666667,1.5,2.28333333333333,1.1,1.7,.616666666666667,1.55,1.83333333333333,1.9, ,1.91666666666667,.816666666666666,.166666666666664, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,2,-99,3,2,6197.6653,1.20561803337607,7531.74903794082,27269.72732,3.0711441427864,1,2,4,3
21,13-OCT-18,1,2,4,11, ,11, ,2, ,2,"b, a",1,1,1,"f, c, e, d",1,1,-98,1,"d, a, c, b",5,2,5,4,"d, a, e, c, b",4,1,1,1,1, ,"d, c, a, g, e, b, h, f",6,9,5,1,8,5, ,9,1, , , ,"d, a, c, b",1,1,3,1,1,2,2, ,2, ,2,"b, a, e, f, d, c",2,2,2,2,-98,2,1,3, , , , , , , , , , , , , , , , ,1.98333333333333,1.58333333333333,1.1,1.28333333333333,2.4,.533333333333333,.816666666666666,1.25,1.43333333333333,2.03333333333333, ,1.1,.383333333333333, , , , ,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-1,-1,-1,-99,-99,1,-99,3,2,4100.608,1.41287198771999,5839.9490171056,8786.81263009188,.989579683947799,1,2,3,3
